City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Ilo,PE,72.46,clear sky,-17.6394,-71.3375,Hostal Central
3,Cam Ranh,VN,78.76,scattered clouds,11.9214,109.1591,Khách sạn Thái Bình
8,Atuona,PF,77.56,light rain,-9.8,-139.0333,Pearl Resort
10,Georgetown,MY,82.24,few clouds,5.4112,100.3354,Page 63 hostel
12,Cidreira,BR,72.75,broken clouds,-30.1811,-50.2056,Hotel Castelo
13,Rikitea,PF,72.23,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
16,Hithadhoo,MV,81.82,broken clouds,-0.6,73.0833,Pebbles Inn
20,Ampanihy,MG,72.36,light rain,-24.7,44.75,Hotel restaurant Angora
21,Cape Town,ZA,77.41,clear sky,-33.9258,18.4232,Townhouse Hotel
23,Hilo,US,80.28,broken clouds,19.7297,-155.09,Dolphin Bay Hotel
26,Bac Lieu,VN,78.78,overcast clouds,9.285,105.7244,Khách sạn Bạc Liêu
28,Yulara,AU,71.87,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
29,Puerto Escondido,MX,82.65,overcast clouds,15.85,-97.0667,Hotel Barlovento
34,Micheweni,TZ,79.29,overcast clouds,-4.9667,39.8333,No hotel found
35,General Roca,AR,78.06,clear sky,-39.0333,-67.5833,Hotel Austral
41,Hermanus,ZA,73.8,few clouds,-34.4187,19.2345,Aloe guest house
44,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
45,Arraial Do Cabo,BR,78.66,broken clouds,-22.9661,-42.0278,No hotel found
46,Cayenne,GF,86.04,scattered clouds,4.9333,-52.3333,Central Hôtel
48,Kapaa,US,71.58,overcast clouds,22.0752,-159.319,Pono Kai Resort
49,Sao Filipe,CV,77.0,scattered clouds,14.8961,-24.4956,Bela Vista
53,Cabo San Lucas,MX,71.06,broken clouds,22.8909,-109.9124,Comfort Rooms
56,Rio Tercero,AR,72.81,overcast clouds,-32.173,-64.1141,hotel Argentino
57,Honiara,SB,77.83,overcast clouds,-9.4333,159.95,King Solomon Hotel
60,Tiarei,PF,75.22,clear sky,-17.5333,-149.3333,No hotel found
63,Ternate,ID,82.2,overcast clouds,0.8,127.4,Boulivard ternate
64,Port Alfred,ZA,74.37,light rain,-33.5906,26.891,No hotel found
66,Hambantota,LK,75.54,scattered clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
68,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,Le Baril
73,Isangel,VU,79.11,overcast clouds,-19.55,169.2667,Tanna Lodge
74,Totness,SR,82.18,scattered clouds,5.8833,-56.3167,No hotel found
75,Butaritari,KI,81.05,scattered clouds,3.0707,172.7902,No hotel found
76,Kavieng,PG,82.08,broken clouds,-2.5744,150.7967,Kavieng Hotel
77,Chuy,UY,81.09,broken clouds,-33.6971,-53.4616,Alerces
78,Plettenberg Bay,ZA,70.02,broken clouds,-34.0527,23.3716,Milkwood Manor
80,Bredasdorp,ZA,73.89,broken clouds,-34.5322,20.0403,Victoria Hotel
81,Kirakira,SB,78.76,overcast clouds,-10.4544,161.9205,No hotel found
83,Beitbridge,ZW,86.23,clear sky,-22.2167,30.0,No hotel found
90,Mar Del Plata,AR,72.82,light rain,-38.0023,-57.5575,Nuevo Ostende
93,Pisco,PE,73.45,few clouds,-13.7,-76.2167,La Portada
95,Bengkulu,ID,76.71,overcast clouds,-3.8004,102.2655,Dena Hotel
96,Nata,PA,80.47,overcast clouds,8.3333,-80.5167,No hotel found
97,East London,ZA,70.74,few clouds,-33.0153,27.9116,No hotel found
100,Srivardhan,IN,75.58,broken clouds,18.0333,73.0167,No hotel found
103,Muisne,EC,76.24,overcast clouds,0.6,-80.0333,Hostal Té de Menta
105,Cozumel,MX,86.07,scattered clouds,20.5083,-86.9458,Hotel Isla Esmeralda
106,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Kununurra Country Club Resort
107,Fare,PF,79.52,clear sky,-16.7,-151.0167,hôtel Maitai Lapita Village
111,Iquique,CL,71.64,clear sky,-20.2208,-70.1431,Hostal Vivar
120,Caravelas,BR,80.96,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
121,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti International Resort
123,Kaberamaido,UG,76.78,overcast clouds,1.7389,33.1594,No hotel found
124,Ponta Do Sol,PT,74.01,clear sky,32.6667,-17.1,Estalagem Ponta do Sol
126,Porto Velho,BR,87.85,broken clouds,-8.7619,-63.9039,Hotel Slaviero Essential Porto Velho
128,Carnarvon,AU,70.29,clear sky,-24.8667,113.6333,No hotel found
134,Port Elizabeth,ZA,76.1,broken clouds,-33.918,25.5701,Waterford Hotel
135,Salalah,OM,77.59,clear sky,17.0151,54.0924,Muscat International Hotel
136,Kalmunai,LK,78.35,scattered clouds,7.4167,81.8167,Saji new food
143,Upata,VE,83.19,broken clouds,8.0086,-62.3989,Hotel Garibardi
144,Gondanglegi,ID,73.45,overcast clouds,-7.7479,112.0132,No hotel found
152,Sambava,MG,75.72,clear sky,-14.2667,50.1667,Royal Sava Hôtel
161,Alofi,NU,77.65,broken clouds,-19.0595,-169.9187,No hotel found
162,Karratha,AU,81.84,light rain,-20.7377,116.8463,Karratha International Hotel
163,Macia,MZ,73.22,clear sky,-25.0269,33.0989,No hotel found
170,Antsohihy,MG,79.47,light rain,-14.8796,47.9875,Escale
172,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,No hotel found
176,Katubao,PH,79.21,overcast clouds,5.8892,124.8294,No hotel found
181,Harper,LR,82.26,light rain,4.375,-7.7169,No hotel found
182,Praia,CV,77.63,broken clouds,14.9215,-23.5087,Casa Sodadi
186,Waingapu,ID,78.35,broken clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
188,Makokou,GA,76.78,light rain,0.5738,12.8642,No hotel found
