City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,51.71,64,98,1.01,overcast clouds
1,Yellowknife,CA,62.456,-114.3525,-21.44,76,40,4.61,scattered clouds
2,Ilo,PE,-17.6394,-71.3375,72.46,68,0,10.36,clear sky
3,Cam Ranh,VN,11.9214,109.1591,78.76,94,40,13.8,scattered clouds
4,Busselton,AU,-33.65,115.3333,60.57,94,13,7.76,few clouds
5,Whitehorse,CA,60.7161,-135.0538,-16.19,75,0,4.61,clear sky
6,Pyaozerskiy,RU,65.8333,31.1667,25.27,98,100,3.04,overcast clouds
7,Albany,US,42.6001,-73.9662,46.42,88,100,10.0,overcast clouds
8,Atuona,PF,-9.8,-139.0333,77.56,76,42,16.53,light rain
9,Severo-Kurilsk,RU,50.6789,156.125,32.56,80,85,13.65,light snow
10,Georgetown,MY,5.4112,100.3354,82.24,87,20,2.3,few clouds
11,Mataura,NZ,-46.1927,168.8643,41.05,81,45,3.44,scattered clouds
12,Cidreira,BR,-30.1811,-50.2056,72.75,86,76,17.29,broken clouds
13,Rikitea,PF,-23.1203,-134.9692,72.23,72,100,12.39,overcast clouds
14,Payson,US,40.0444,-111.7321,29.3,49,75,6.91,broken clouds
15,Tasiilaq,GL,65.6145,-37.6368,34.09,98,100,17.34,snow
16,Hithadhoo,MV,-0.6,73.0833,81.82,72,65,7.67,broken clouds
17,Tura,IN,25.5198,90.2201,63.39,81,1,3.4,clear sky
18,Ribeira Grande,PT,38.5167,-28.7,64.8,68,40,4.61,scattered clouds
19,Pangnirtung,CA,66.1451,-65.7125,-5.8,59,20,23.02,few clouds
20,Ampanihy,MG,-24.7,44.75,72.36,83,100,6.67,light rain
21,Cape Town,ZA,-33.9258,18.4232,77.41,53,0,9.22,clear sky
22,Grindavik,IS,63.8424,-22.4338,49.95,100,100,24.16,light intensity drizzle
23,Hilo,US,19.7297,-155.09,80.28,93,79,3.0,broken clouds
24,Kaitangata,NZ,-46.2817,169.8464,43.43,79,37,7.99,scattered clouds
25,Murgab,TM,37.4966,61.9714,51.67,66,75,13.8,broken clouds
26,Bac Lieu,VN,9.285,105.7244,78.78,89,98,11.36,overcast clouds
27,San Quintin,MX,30.4833,-115.95,57.18,75,56,4.32,broken clouds
28,Yulara,AU,-25.2406,130.9889,71.87,19,0,9.24,clear sky
29,Puerto Escondido,MX,15.85,-97.0667,82.65,69,99,4.81,overcast clouds
30,Asau,RO,46.4333,26.4,34.72,88,98,3.24,overcast clouds
31,Mamakan,RU,57.8161,114.0028,-3.08,90,100,6.76,overcast clouds
32,Bunde,DE,53.1833,7.2667,43.02,96,100,1.01,overcast clouds
33,Punta Arenas,CL,-53.15,-70.9167,53.62,50,75,25.32,broken clouds
34,Micheweni,TZ,-4.9667,39.8333,79.29,81,95,7.31,overcast clouds
35,General Roca,AR,-39.0333,-67.5833,78.06,35,5,6.91,clear sky
36,Changji,CN,44.0167,87.3167,-3.21,84,97,2.24,overcast clouds
37,Ushuaia,AR,-54.8,-68.3,55.02,50,75,27.63,broken clouds
38,Suez,EG,29.9737,32.5263,67.59,43,0,7.18,clear sky
39,Hobart,AU,-42.8794,147.3294,52.05,83,100,3.44,overcast clouds
40,Jamestown,US,42.097,-79.2353,46.04,70,100,24.16,moderate rain
41,Hermanus,ZA,-34.4187,19.2345,73.8,75,16,7.92,few clouds
42,La Baule-Escoublac,FR,47.2922,-2.364,46.71,82,0,9.22,clear sky
43,Oxelosund,SE,58.6706,17.1015,34.18,100,75,0.0,mist
44,Puerto Ayora,EC,-0.7393,-90.3518,76.96,94,87,4.0,overcast clouds
45,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,83,75,23.02,broken clouds
46,Cayenne,GF,4.9333,-52.3333,86.04,66,40,12.66,scattered clouds
47,Grenada,ES,37.1882,-3.6067,61.16,32,20,3.44,few clouds
48,Kapaa,US,22.0752,-159.319,71.58,81,98,5.32,overcast clouds
49,Sao Filipe,CV,14.8961,-24.4956,77.0,61,50,8.08,scattered clouds
50,Lagoa,PT,39.05,-27.9833,62.28,76,0,9.26,clear sky
51,Klaksvik,FO,62.2266,-6.589,49.12,89,99,27.45,overcast clouds
52,Barrow,US,71.2906,-156.7887,21.69,94,100,15.5,overcast clouds
53,Cabo San Lucas,MX,22.8909,-109.9124,71.06,58,65,3.62,broken clouds
54,Lompoc,US,34.6391,-120.4579,56.79,87,75,8.05,broken clouds
55,Palana,RU,59.1167,159.9667,25.77,94,100,9.28,light snow
56,Rio Tercero,AR,-32.173,-64.1141,72.81,68,100,18.84,overcast clouds
57,Honiara,SB,-9.4333,159.95,77.83,88,100,1.57,overcast clouds
58,Krikellos,GR,38.95,21.1833,58.73,80,100,5.79,overcast clouds
59,Kalmar,SE,56.6616,16.3616,37.96,93,100,3.44,overcast clouds
60,Tiarei,PF,-17.5333,-149.3333,75.22,80,10,14.41,clear sky
61,Saint George,US,37.1041,-113.5841,42.78,28,3,4.47,clear sky
62,Aklavik,CA,68.2191,-135.0107,-2.2,78,100,2.3,light snow
63,Ternate,ID,0.8,127.4,82.2,79,100,8.55,overcast clouds
64,Port Alfred,ZA,-33.5906,26.891,74.37,82,20,17.81,light rain
65,Clyde River,CA,70.4692,-68.5914,-28.97,68,0,5.75,clear sky
66,Hambantota,LK,6.1241,81.1185,75.54,100,40,2.3,scattered clouds
67,Vila Praia De Ancora,PT,41.811,-8.8526,55.11,87,100,12.08,light rain
68,Saint-Philippe,RE,-21.3585,55.7679,78.39,76,71,8.61,broken clouds
69,Stornoway,GB,58.2093,-6.3865,49.96,85,40,21.85,light rain
70,Porto Santo,PT,33.072,-16.3415,66.58,63,0,8.05,clear sky
71,Hailar,CN,49.2,119.7,-22.31,92,63,6.85,broken clouds
72,Margate,GB,51.3813,1.3862,47.7,91,99,1.01,overcast clouds
