City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,48.67,71,100,3.83,US,11/27/22 18:40
1,Veraval,20.9,70.3667,73.27,49,0,5.08,IN,11/27/22 18:40
2,Mataura,-46.1927,168.8643,45.05,86,95,2.24,NZ,11/27/22 18:40
3,Faanui,-16.4833,-151.75,78.84,75,18,14.74,PF,11/27/22 18:40
4,Ingleside,27.8778,-97.2117,77.02,60,0,5.75,US,11/27/22 18:40
5,Bereda,43.2686,-7.5406,48.42,100,82,3.6,ES,11/27/22 18:40
6,Upernavik,72.7868,-56.1549,11.21,80,100,4.83,GL,11/27/22 18:40
7,Torbay,47.6666,-52.7314,43.39,96,100,18.41,CA,11/27/22 18:40
8,Hermanus,-34.4187,19.2345,65.8,75,0,17.94,ZA,11/27/22 18:40
9,Qaanaaq,77.484,-69.3632,-10.01,71,15,6.85,GL,11/27/22 18:40
10,Valkla,59.4744,25.3186,27.66,91,92,5.93,EE,11/27/22 18:40
11,Georgetown,5.4112,100.3354,80.24,91,20,0,MY,11/27/22 18:40
12,Cherskiy,68.75,161.3,-24.32,96,100,1.66,RU,11/27/22 18:40
13,Barrow,71.2906,-156.7887,1.42,92,100,9.22,US,11/27/22 18:40
14,Tasiilaq,65.6145,-37.6368,24.96,61,11,7.16,GL,11/27/22 18:37
15,Alice Springs,-23.7,133.8833,69.35,56,17,5.75,AU,11/27/22 18:40
16,Sao Filipe,14.8961,-24.4956,79.12,61,0,12.62,CV,11/27/22 18:38
17,Vallenar,-28.5708,-70.7581,84.16,35,0,9.31,CL,11/27/22 18:40
18,Qingyuan,23.7,113.0333,73.38,98,93,4.36,CN,11/27/22 18:40
19,Bambous Virieux,-20.3428,57.7575,73.65,78,20,3.44,MU,11/27/22 18:38
20,San Patricio,28.017,-97.5169,76.87,63,0,7.07,US,11/27/22 18:40
21,Cayenne,4.9333,-52.3333,80.64,83,75,6.91,GF,11/27/22 18:40
22,Chuy,-33.6971,-53.4616,77.27,65,12,12.62,UY,11/27/22 18:40
23,Bredasdorp,-34.5322,20.0403,63.5,78,0,13.94,ZA,11/27/22 18:38
24,Ribeira Grande,38.5167,-28.7,64.8,77,40,21.99,PT,11/27/22 18:40
25,Atuona,-9.8,-139.0333,77.76,70,9,15.08,PF,11/27/22 18:40
26,Hofn,64.2539,-15.2082,40.48,73,100,3,IS,11/27/22 18:40
27,Busselton,-33.65,115.3333,51.28,83,0,11.81,AU,11/27/22 18:40
28,Jamestown,42.097,-79.2353,48.02,77,100,11.5,US,11/27/22 18:37
29,Saskylakh,71.9167,114.0833,-13.54,100,97,4.65,RU,11/27/22 18:40
30,Cape Town,-33.9258,18.4232,72.01,61,0,20.71,ZA,11/27/22 18:40
31,New Norfolk,-42.7826,147.0587,47.7,73,82,1.01,AU,11/27/22 18:40
32,Arraial Do Cabo,-22.9661,-42.0278,76.86,83,75,20.71,BR,11/27/22 18:38
33,Kosice,48.6667,21.3333,39.69,76,75,4.61,SK,11/27/22 18:40
34,Rikitea,-23.1203,-134.9692,74.98,73,2,3.13,PF,11/27/22 18:37
35,Ostrovnoy,68.0531,39.5131,26.96,84,100,25.84,RU,11/27/22 18:40
36,Vanimo,-2.6741,141.3028,77.27,87,95,3.47,PG,11/27/22 18:40
37,Campbell River,50.0163,-125.2446,40.44,100,20,2.3,CA,11/27/22 18:40
38,Freeport,40.6576,-73.5832,56.37,77,100,16.11,US,11/27/22 18:40
39,Mount Isa,-20.7333,139.5,74.97,88,100,5.75,AU,11/27/22 18:40
40,Ushuaia,-54.8,-68.3,56.82,47,20,3.44,AR,11/27/22 18:40
41,Cosolapa,18.5833,-96.65,83.28,69,68,3.85,MX,11/27/22 18:40
42,Hami,42.8,93.45,8.96,38,0,15.68,CN,11/27/22 18:39
43,Tuatapere,-46.1333,167.6833,45.39,85,100,3.91,NZ,11/27/22 18:40
44,Rozhnyativ,48.9358,24.1638,31.59,94,100,1.3,UA,11/27/22 18:40
45,Shimoda,34.6667,138.95,54.1,78,100,4.92,JP,11/27/22 18:40
46,Ruteng,-8.6136,120.4721,62.55,89,100,0.36,ID,11/27/22 18:40
47,Mar Del Plata,-38.0023,-57.5575,82.83,84,0,9.22,AR,11/27/22 18:41
48,Souillac,-20.5167,57.5167,73.78,78,20,3.44,MU,11/27/22 18:41
49,Tual,-5.6667,132.75,83.03,77,100,9.53,ID,11/27/22 18:41
50,Beringovskiy,63.05,179.3167,18.3,90,100,5.97,RU,11/27/22 18:41
51,Puerto Ayora,-0.7393,-90.3518,76.96,87,51,5.99,EC,11/27/22 18:41
52,Nadym,65.5333,72.5167,-4.54,92,32,8.97,RU,11/27/22 18:41
53,Slavsk,55.0425,21.677,31.87,99,100,4.56,RU,11/27/22 18:41
54,Kavieng,-2.5744,150.7967,82.92,72,13,8.34,PG,11/27/22 18:37
